,index,estimator,value,x,se,bias,variance
0,0,FM-IPS (DM),1.8870123624801636,0.0,4.33096056609409,4.42733605397,0.03629076329417999
1,0,MIPS,3.952675671981773,0.0,0.0002381679721933512,0.001025623902840581,0.04182644776275153
2,0,MIPS (w/true ROIPS),3.952675671981773,0.0,0.0002381679721933512,0.001025623902840581,0.04182644776275153
3,0,MIPS (w/heuristic ROIPS),3.952675671981773,0.0,0.0002381679721933512,0.001025623902840581,0.04182644776275153
4,1,FM-IPS (DM),1.9052209854125977,0.0,4.255504335300111,4.42733605397,0.03629076329417999
5,1,MIPS,3.6419213772664354,0.0,0.10639795008740344,0.001025623902840581,0.04182644776275153
6,1,MIPS (w/true ROIPS),3.6419213772664354,0.0,0.10639795008740344,0.001025623902840581,0.04182644776275153
7,1,MIPS (w/heuristic ROIPS),3.6419213772664354,0.0,0.10639795008740344,0.001025623902840581,0.04182644776275153
8,2,FM-IPS (DM),1.9266650676727295,0.0,4.1674907306993765,4.42733605397,0.03629076329417999
9,2,MIPS,4.032820847390668,0.0,0.004187705551606148,0.001025623902840581,0.04182644776275153
10,2,MIPS (w/true ROIPS),4.032820847390668,0.0,0.004187705551606148,0.001025623902840581,0.04182644776275153
11,2,MIPS (w/heuristic ROIPS),4.032820847390668,0.0,0.004187705551606148,0.001025623902840581,0.04182644776275153
12,3,FM-IPS (DM),1.932876467704773,0.0,4.142168870281612,4.42733605397,0.03629076329417999
13,3,MIPS,4.218532007590831,0.0,0.06271200144352022,0.001025623902840581,0.04182644776275153
14,3,MIPS (w/true ROIPS),4.218532007590831,0.0,0.06271200144352022,0.001025623902840581,0.04182644776275153
15,3,MIPS (w/heuristic ROIPS),4.218532007590831,0.0,0.06271200144352022,0.001025623902840581,0.04182644776275153
16,4,FM-IPS (DM),1.8980956077575684,0.0,4.284952809566338,4.42733605397,0.03629076329417999
17,4,MIPS,3.746509455187378,0.0,0.04910607623278452,0.001025623902840581,0.04182644776275153
18,4,MIPS (w/true ROIPS),3.746509455187378,0.0,0.04910607623278452,0.001025623902840581,0.04182644776275153
19,4,MIPS (w/heuristic ROIPS),3.746509455187378,0.0,0.04910607623278452,0.001025623902840581,0.04182644776275153
20,5,FM-IPS (DM),1.8872528076171875,0.0,4.329959845081631,4.42733605397,0.03629076329417999
21,5,MIPS,3.909575236723469,0.0,0.0034261269480507003,0.001025623902840581,0.04182644776275153
22,5,MIPS (w/true ROIPS),3.909575236723469,0.0,0.0034261269480507003,0.001025623902840581,0.04182644776275153
23,5,MIPS (w/heuristic ROIPS),3.909575236723469,0.0,0.0034261269480507003,0.001025623902840581,0.04182644776275153
24,6,FM-IPS (DM),1.9394350051879883,0.0,4.115515595342318,4.42733605397,0.03629076329417999
25,6,MIPS,3.9104827416730976,0.0,0.003320712308474248,0.001025623902840581,0.04182644776275153
26,6,MIPS (w/true ROIPS),3.9104827416730976,0.0,0.003320712308474248,0.001025623902840581,0.04182644776275153
27,6,MIPS (w/heuristic ROIPS),3.9104827416730976,0.0,0.003320712308474248,0.001025623902840581,0.04182644776275153
28,7,FM-IPS (DM),1.8918960094451904,0.0,4.310657739761663,4.42733605397,0.03629076329417999
29,7,MIPS,3.5255723304507653,0.0,0.19583814068162933,0.001025623902840581,0.04182644776275153
30,7,MIPS (w/true ROIPS),3.5255723304507653,0.0,0.19583814068162933,0.001025623902840581,0.04182644776275153
31,7,MIPS (w/heuristic ROIPS),3.5255723304507653,0.0,0.19583814068162933,0.001025623902840581,0.04182644776275153
32,8,FM-IPS (DM),1.9116601943969727,0.0,4.228979072833027,4.42733605397,0.03629076329417999
33,8,MIPS,3.5955639039109135,0.0,0.13878937448390014,0.001025623902840581,0.04182644776275153
34,8,MIPS (w/true ROIPS),3.5955639039109135,0.0,0.13878937448390014,0.001025623902840581,0.04182644776275153
35,8,MIPS (w/heuristic ROIPS),3.5955639039109135,0.0,0.13878937448390014,0.001025623902840581,0.04182644776275153
36,9,FM-IPS (DM),1.9151902198791504,0.0,4.214472905032435,4.42733605397,0.03629076329417999
37,9,MIPS,3.777046951664418,0.0,0.03650446315075124,0.001025623902840581,0.04182644776275153
38,9,MIPS (w/true ROIPS),3.777046951664418,0.0,0.03650446315075124,0.001025623902840581,0.04182644776275153
39,9,MIPS (w/heuristic ROIPS),3.777046951664418,0.0,0.03650446315075124,0.001025623902840581,0.04182644776275153
40,10,FM-IPS (DM),1.5044914484024048,0.0,6.069408305104739,4.42733605397,0.03629076329417999
41,10,MIPS,3.9988519668171443,0.0,0.0009451691355657911,0.001025623902840581,0.04182644776275153
42,10,MIPS (w/true ROIPS),3.9988519668171443,0.0,0.0009451691355657911,0.001025623902840581,0.04182644776275153
43,10,MIPS (w/heuristic ROIPS),3.9988519668171443,0.0,0.0009451691355657911,0.001025623902840581,0.04182644776275153
44,11,FM-IPS (DM),1.488721489906311,0.0,6.147359269703234,4.42733605397,0.03629076329417999
45,11,MIPS,3.9535885172682783,0.0,0.00021082593901163553,0.001025623902840581,0.04182644776275153
46,11,MIPS (w/true ROIPS),3.9535885172682783,0.0,0.00021082593901163553,0.001025623902840581,0.04182644776275153
47,11,MIPS (w/heuristic ROIPS),3.9535885172682783,0.0,0.00021082593901163553,0.001025623902840581,0.04182644776275153
48,12,FM-IPS (DM),1.487064003944397,0.0,6.155581114837723,4.42733605397,0.03629076329417999
49,12,MIPS,3.8829373653177996,0.0,0.007254098957272279,0.001025623902840581,0.04182644776275153
50,12,MIPS (w/true ROIPS),3.8829373653177996,0.0,0.007254098957272279,0.001025623902840581,0.04182644776275153
